dataset,sequence,metric,unit,best_method,best_value,best_modality,best_metric_type,best_paper,best_table,n_methods
Mono-HKU vicon (DAVIS346),vicon_aggressive_hdr,MPE,%,PL-EIO+,0.5,E+I,metric,PL-EVIO,I,6
Mono-HKU vicon (DAVIS346),vicon_dark1,MPE,%,PL-EIO+,0.35,E+I,metric,PL-EVIO,I,8
Mono-HKU vicon (DAVIS346),vicon_dark2,MPE,%,PL-EIO,0.3,E+I,metric,PL-EVIO,I,8
Mono-HKU vicon (DAVIS346),vicon_darktolight1,MPE,%,PL-EVIO,0.14,E+F+I,metric,PL-EVIO,I,9
Mono-HKU vicon (DAVIS346),vicon_darktolight2,MPE,%,PL-EVIO,0.12,E+F+I,metric,PL-EVIO,I,9
Mono-HKU vicon (DAVIS346),vicon_hdr1,MPE,%,PL-EVIO,0.17,E+F+I,metric,PL-EVIO,I,9
Mono-HKU vicon (DAVIS346),vicon_hdr2,MPE,%,PL-EVIO,0.12,E+F+I,metric,PL-EVIO,I,9
Mono-HKU vicon (DAVIS346),vicon_hdr3,MPE,%,PL-EVIO,0.19,E+F+I,metric,PL-EVIO,I,9
Mono-HKU vicon (DAVIS346),vicon_hdr4,MPE,%,PL-EVIO,0.11,E+F+I,metric,PL-EVIO,I,9
Mono-HKU vicon (DAVIS346),vicon_lighttodark1,MPE,%,PL-EVIO,0.13,E+F+I,metric,PL-EVIO,I,9
Mono-HKU vicon (DAVIS346),vicon_lighttodark2,MPE,%,PL-EVIO,0.16,E+F+I,metric,PL-EVIO,I,9
Mono-HKU vicon (DVXplorer),average,MPE,%,PL-EIO+,0.45,E+I,metric,PL-EVIO,I,4
Mono-HKU vicon (DVXplorer),vicon_aggressive_hdr,MPE,%,PL-EIO+,0.5,E+I,metric,PL-EVIO,I,3
Mono-HKU vicon (DVXplorer),vicon_dark1,MPE,%,Mono-EIO,0.35,E+I,metric,PL-EVIO,I,4
Mono-HKU vicon (DVXplorer),vicon_dark2,MPE,%,PL-EIO,0.38,E+I,metric,PL-EVIO,I,4
Mono-HKU vicon (DVXplorer),vicon_darktolight1,MPE,%,PL-EIO,0.71,E+I,metric,PL-EVIO,I,4
Mono-HKU vicon (DVXplorer),vicon_darktolight2,MPE,%,PL-EIO+,0.47,E+I,metric,PL-EVIO,I,4
Mono-HKU vicon (DVXplorer),vicon_hdr1,MPE,%,Mono-EIO,0.3,E+I,metric,PL-EVIO,I,4
Mono-HKU vicon (DVXplorer),vicon_hdr2,MPE,%,PL-EIO+,0.21,E+I,metric,PL-EVIO,I,4
Mono-HKU vicon (DVXplorer),vicon_hdr3,MPE,%,PL-EIO+,0.36,E+I,metric,PL-EVIO,I,4
Mono-HKU vicon (DVXplorer),vicon_hdr4,MPE,%,PL-EIO+,0.25,E+I,metric,PL-EVIO,I,4
Mono-HKU vicon (DVXplorer),vicon_lighttodark1,MPE,%,PL-EIO,0.43,E+I,metric,PL-EVIO,I,4
Mono-HKU vicon (DVXplorer),vicon_lighttodark2,MPE,%,PL-EIO+,0.6,E+I,metric,PL-EVIO,I,4
Other,drone_fast,ATE,cm,Stereo-DEVO,13.29,Stereo E,metric,Stereo-DEVO,II,2
Other,hnu_campus,ATE,cm,Stereo-DEVO,151.81,Stereo E,metric,Stereo-DEVO,II,4
RPG,rpg_bin,ARE,deg,EDS,0.99,E+F,up-to-scale,EDS,2,9
RPG,rpg_bin,ATE,cm,ORB-SLAM2 (stereo),0.7,Stereo F,metric,DEVO,6,21
RPG,rpg_bin,RPE_R,deg/s,ORB-SLAM2 (stereo+BA),0.5,Stereo F,metric,ESVO,V,9
RPG,rpg_bin,RPE_t,cm/s,ORB-SLAM2 (stereo+BA),1.2,Stereo F,metric,ESVO,V,10
RPG,rpg_box,ARE,deg,EDS,1.83,E+F,up-to-scale,EDS,2,9
RPG,rpg_box,ATE,cm,DEVO,0.92,E,up-to-scale,DEVO,6,21
RPG,rpg_box,RPE_R,deg/s,ORB-SLAM2 (stereo+BA),1.7,Stereo F,metric,ESVO,V,9
RPG,rpg_box,RPE_t,cm/s,ORB-SLAM2 (stereo+BA),2.7,Stereo F,metric,ESVO,V,10
RPG,rpg_desk,ARE,deg,EDS,1.87,E+F,up-to-scale,EDS,2,9
RPG,rpg_desk,ATE,cm,DEVO,1.21,E,up-to-scale,DEVO,6,22
RPG,rpg_desk,RPE_R,deg/s,ORB-SLAM2 (stereo+BA),1.7,Stereo F,metric,ESVO,V,9
RPG,rpg_desk,RPE_t,cm/s,ORB-SLAM2 (stereo+BA),2.8,Stereo F,metric,ESVO,V,10
RPG,rpg_monitor,ARE,deg,EDS,0.6,E+F,up-to-scale,EDS,2,9
RPG,rpg_monitor,ATE,cm,DEVO,0.71,E,up-to-scale,DEVO,6,22
RPG,rpg_monitor,RPE_R,deg/s,ORB-SLAM2 (stereo+BA),0.6,Stereo F,metric,ESVO,V,9
RPG,rpg_monitor,RPE_t,cm/s,ORB-SLAM2 (stereo+BA),1.0,Stereo F,metric,ESVO,V,10
RPG,rpg_reader,ARE,deg,ESVO2,1.54,Stereo E+I,metric,ESVO2,VI,3
RPG,rpg_reader,ATE,cm,ESVO2,2.68,Stereo E+I,metric,ESVO2,VI,4
RPG,rpg_reader,RPE_R,deg/s,ESVO2,1.32,Stereo E+I,metric,ESVO2,VII,3
RPG,rpg_reader,RPE_t,cm/s,ESVO2,2.12,Stereo E+I,metric,ESVO2,VII,4
TUM-VIE,average,ATE,cm,OKVIS2+SuperEvent,0.55,Stereo E+I,metric,SuperEvent,4,15
TUM-VIE,tumvie_1d_trans,ARE,deg,ES-PTAM,6.02,Stereo E,metric,ESVO2,VI,4
TUM-VIE,tumvie_1d_trans,ATE,cm,BASALT,0.3,Stereo F+I,metric,DEVO,5,21
TUM-VIE,tumvie_1d_trans,RPE_R,deg/s,ES-PTAM,0.23,Stereo E,metric,ESVO2,VII,4
TUM-VIE,tumvie_1d_trans,RPE_t,cm/s,ES-PTAM,0.71,Stereo E,metric,ESVO2,VII,6
TUM-VIE,tumvie_3d_trans,ARE,deg,ESVO2,6.61,Stereo E+I,metric,ESVO2,VI,4
TUM-VIE,tumvie_3d_trans,ATE,cm,DH-PTAM,0.7,Stereo E+F,metric,DEIO,V,21
TUM-VIE,tumvie_3d_trans,RPE_R,deg/s,ESVO2,0.83,Stereo E+I,metric,ESVO2,VII,4
TUM-VIE,tumvie_3d_trans,RPE_t,cm/s,Stereo-DEVO,1.73,Stereo E,metric,Stereo-DEVO,II,6
TUM-VIE,tumvie_6dof,ARE,deg,ESVO2,4.17,Stereo E+I,metric,ESVO2,VI,3
TUM-VIE,tumvie_6dof,ATE,cm,OKVIS2+SuperEvent,0.43,Stereo E+I,metric,SuperEvent,4,19
TUM-VIE,tumvie_6dof,RPE_R,deg/s,ESVO2,1.16,Stereo E+I,metric,ESVO2,VII,3
TUM-VIE,tumvie_6dof,RPE_t,cm/s,ESVO2,2.49,Stereo E+I,metric,ESVO2,VII,5
TUM-VIE,tumvie_desk,ARE,deg,ESVO2,2.4,Stereo E+I,metric,ESVO2,VI,4
TUM-VIE,tumvie_desk,ATE,cm,OKVIS2+SuperEvent,0.58,Stereo E+I,metric,SuperEvent,4,21
TUM-VIE,tumvie_desk,RPE_R,deg/s,ESVO2,0.98,Stereo E+I,metric,ESVO2,VII,4
TUM-VIE,tumvie_desk,RPE_t,cm/s,Stereo-DEVO,2.24,Stereo E,metric,Stereo-DEVO,II,6
TUM-VIE,tumvie_desk2,ARE,deg,ESVO2,3.88,Stereo E+I,metric,ESVO2,VI,4
TUM-VIE,tumvie_desk2,ATE,cm,OKVIS2+SuperEvent (no loop),0.4,Stereo E+I,metric,SuperEvent,4,21
TUM-VIE,tumvie_desk2,RPE_R,deg/s,ESVO2,0.91,Stereo E+I,metric,ESVO2,VII,4
TUM-VIE,tumvie_desk2,RPE_t,cm/s,Stereo-DEVO,2.35,Stereo E,metric,Stereo-DEVO,II,6
TUM-VIE (loop-floor),loop_floor0,ATE,cm,OKVIS2+SuperEvent (loop),4.96,Stereo E+I,metric,SuperEvent,6,2
TUM-VIE (loop-floor),loop_floor1,ATE,cm,OKVIS2+SuperEvent (loop),4.64,Stereo E+I,metric,SuperEvent,6,2
TUM-VIE (loop-floor),loop_floor2,ATE,cm,OKVIS2+SuperEvent (loop),8.92,Stereo E+I,metric,SuperEvent,6,2
TUM-VIE (loop-floor),loop_floor3,ATE,cm,OKVIS2+SuperEvent (loop),4.74,Stereo E+I,metric,SuperEvent,6,2
UZH-FPV,average,MPE,%,DEIO,0.42,E+I,metric,DEIO,VIII,7
UZH-FPV,uzhfpv_45_2,MPE,%,VINS-Mono,0.53,F+I,metric,DEVO,1,5
UZH-FPV,uzhfpv_45_4,MPE,%,DEVO,0.45,E,up-to-scale,DEVO,1,7
UZH-FPV,uzhfpv_45_9,MPE,%,ORB-SLAM3,0.49,Stereo F+I,metric,DEVO,1,6
UZH-FPV,uzhfpv_if10,MPE,%,DEVO,0.52,E,up-to-scale,DEIO,VIII,8
UZH-FPV,uzhfpv_if3,MPE,%,DEVO,0.37,E,up-to-scale,DEIO,VIII,8
UZH-FPV,uzhfpv_if5,MPE,%,DEIO,0.36,E+I,metric,DEIO,VIII,7
UZH-FPV,uzhfpv_if6,MPE,%,VINS-MONO,0.25,F+I,metric,DEIO,VIII,7
UZH-FPV,uzhfpv_if7,MPE,%,DEIO,0.32,E+I,metric,DEIO,VIII,7
UZH-FPV,uzhfpv_if9,MPE,%,PL-EVIO,0.44,E+F+I,metric,DEIO,VIII,8
VECtor,average,MPE,%,DEIO,0.44,E+I,metric,DEIO,IV,12
VECtor,corner_slow,ARE,deg,ESVO2,2.96,Stereo E+I,metric,ESVO2,VI,4
VECtor,corner_slow,ATE,cm,DPVO,0.4,F,up-to-scale,DEVO,2,13
VECtor,corner_slow,MPE,%,DPVO,0.3,F,up-to-scale,DEIO,IV,12
VECtor,corner_slow,MRE,deg/m,ESVIO,14.03,Stereo E+F+I,metric,ESVIO,II,7
VECtor,corner_slow,RPE_R,deg/s,ESVO2,1.34,Stereo E+I,metric,ESVO2,VII,4
VECtor,corner_slow,RPE_t,cm/s,Stereo-DEVO,1.49,Stereo E,metric,Stereo-DEVO,II,7
VECtor,corridors_dolly,ATE,cm,OKVIS2+SuperEvent,33.13,Stereo E+I,metric,SuperEvent,5,9
VECtor,corridors_dolly,MPE,%,DEVO,0.51,E,up-to-scale,DEIO,IV,9
VECtor,corridors_dolly,MRE,deg/m,ESVIO,1.33,Stereo E+F+I,metric,ESVIO,II,4
